"","field_id","year","month","centroid_lat","centroid_long","area_hectares","sprays","mildew_incidence","initial_strain","susceptibility_to_r6_strains","susceptibility_to_non_r6_strains","plant_type","date"
"1",1,2014,"April",45.0405,-122.7772,0.6879662,0,0,"non-V6",1,1,"non-R6",2014-04-01
"2",1,2014,"May",45.0405,-122.7772,0.6879662,1,0,"non-V6",1,1,"non-R6",2014-05-01
"3",1,2014,"June",45.0405,-122.7772,0.6879662,2,0,"non-V6",1,1,"non-R6",2014-06-01
"4",1,2014,"July",45.0405,-122.7772,0.6879662,1,0.01,"non-V6",1,1,"non-R6",2014-07-01
"5",2,2014,"April",45.0411,-122.7766,0.8903092,0,0,"non-V6",1,1,"non-R6",2014-04-01
"6",2,2014,"May",45.0411,-122.7766,0.8903092,1,0,"non-V6",1,1,"non-R6",2014-05-01
"7",2,2014,"June",45.0411,-122.7766,0.8903092,2,0,"non-V6",1,1,"non-R6",2014-06-01
"8",2,2014,"July",45.0411,-122.7766,0.8903092,1,0.01,"non-V6",1,1,"non-R6",2014-07-01
"9",3,2014,"April",45.0405,-122.7778,2.3876474,0,0,"non-V6",1,1,"non-R6",2014-04-01
"10",3,2014,"May",45.0405,-122.7778,2.3876474,1,0,"non-V6",1,1,"non-R6",2014-05-01
"11",3,2014,"June",45.0405,-122.7778,2.3876474,2,0,"non-V6",1,1,"non-R6",2014-06-01
"12",3,2014,"July",45.0405,-122.7778,2.3876474,1,0.02,"non-V6",1,1,"non-R6",2014-07-01
"13",4,2014,"April",45.0377,-122.7779,1.2545266,0,0,"non-V6",1,1,"non-R6",2014-04-01
"14",4,2014,"May",45.0377,-122.7779,1.2545266,1,0,"non-V6",1,1,"non-R6",2014-05-01
"15",4,2014,"June",45.0377,-122.7779,1.2545266,2,0.05,"non-V6",1,1,"non-R6",2014-06-01
"16",4,2014,"July",45.0377,-122.7779,1.2545266,1,0.1,"non-V6",1,1,"non-R6",2014-07-01
