field_id,Centroid Lat,Centroid Long,cultivar_type
1,45.0405,-122.7772,non-R6
2,45.0376,-122.7813,non-R6
3,45.0411,-122.7766,non-R6
4,45.0405,-122.7778,non-R6
5,45.0377,-122.7779,non-R6
7,45.0412,-122.7753,non-R6
8,45.0403,-122.7818,non-R6
9,45.0377,-122.7803,non-R6
10,45.0377,-122.7771,non-R6
11,45.0775,-122.7656,non-R6
12,45.079,-122.7666,non-R6
13,45.0842,-122.7656,non-R6
14,45.0839,-122.763,non-R6
15,45.0805,-122.7666,non-R6
16,45.0405,-122.7794,non-R6
17,45.0799,-122.7262,non-R6
18,45.0826,-122.7274,non-R6
19,45.0799,-122.7239,non-R6
20,45.0412,-122.7729,non-R6
21,45.0376,-122.779,non-R6
22,45.0915,-122.7569,non-R6
24,45.088,-122.742,non-R6
25,45.0802,-122.7372,non-R6
26,45.0833,-122.7513,R6
27,45.0772,-122.7606,R6
28,45.0771,-122.7557,R6
29,45.0925,-122.7523,non-R6
30,45.0936,-122.7569,R6
31,45.0926,-122.7473,R6
32,45.0891,-122.7526,non-R6
33,45.0891,-122.7476,non-R6
34,45.0866,-122.7601,non-R6
35,45.0642,-122.7815,non-R6
36,45.066,-122.7805,non-R6
37,45.0659,-122.7829,non-R6
38,45.067,-122.778,non-R6
39,45.058,-122.788,non-R6
40,45.0607,-122.7933,non-R6
41,45.0607,-122.7933,non-R6
42,45.0575,-122.793,non-R6
43,45.0521,-122.7833,R6
44,45.195,-122.845,non-R6
45,45.1684,-122.8832,R6
46,45.2005,-122.9142,R6
47,45.1654,-122.8855,non-R6
48,45.1653,-122.8751,non-R6
49,45.1672,-122.8792,non-R6
50,45.1675,-122.8792,R6
51,45.1685,-122.9058,non-R6
52,45.1653,-122.8815,R6
53,45.1659,-122.8885,non-R6
54,45.199,-122.8455,non-R6
55,45.1996,-122.8464,non-R6
57,45.1942,-122.7664,non-R6
58,45.1924,-122.7662,non-R6
59,45.19,-122.7621,non-R6
60,45.1931,-122.766,non-R6
61,45.1979,-122.7756,non-R6
63,45.1899,-122.7667,non-R6
64,45.1932,-122.7715,non-R6
65,45.1909,-122.7707,non-R6
66,45.201,-122.7725,R6
67,45.1994,-122.774,R6
68,45.189,-122.7707,R6
69,45.1978,-122.7726,R6
70,45.1936,-122.7656,non-R6
71,45.1173,-122.8455,R6
72,45.1174,-122.8464,R6
73,45.1173,-122.845,non-R6
74,45.1177,-122.8433,R6
75,45.1179,-122.8399,non-R6
76,45.1177,-122.8353,R6
77,45.1177,-122.8307,non-R6
78,45.1176,-122.8266,R6
79,45.1137,-122.83,non-R6
80,45.1144,-122.8564,non-R6
81,45.1126,-122.8533,non-R6
82,45.0337,-122.7402,non-R6
83,45.0348,-122.7418,non-R6
85,45.0424,-122.8295,non-R6
86,45.0388,-122.832,non-R6
87,45.0315,-122.7704,non-R6
88,45.0336,-122.7675,non-R6
90,45.0335,-122.7653,non-R6
91,45.0293,-122.7503,non-R6
92,45.0295,-122.7542,non-R6
93,45.0277,-122.7624,non-R6
94,45.0285,-122.7598,non-R6
95,45.029,-122.758,non-R6
96,45.0289,-122.7632,non-R6
97,45.0254,-122.7648,non-R6
98,45.0258,-122.7621,non-R6
99,45.0258,-122.7599,non-R6
100,45.0258,-122.7569,R6
102,45.0279,-122.7664,non-R6
103,45.0289,-122.7684,non-R6
106,45.0735,-122.7338,non-R6
107,45.0394,-122.8026,R6
109,45.099,-122.9877,non-R6
110,45.0975,-122.9804,non-R6
111,45.0431,-123.0085,non-R6
112,45.0444,-123.005,non-R6
113,45.0486,-123.0019,non-R6
114,45.0467,-123.0019,non-R6
115,45.0487,-122.997,R6
116,45.047,-122.9971,non-R6
117,45.0473,-122.9917,R6
118,45.0489,-122.9907,non-R6
120,45.0475,-123.0019,non-R6
121,45.0526,-123.007,non-R6
123,45.1889,-122.7755,non-R6
124,45.1906,-122.7753,non-R6
125,45.193,-122.7746,R6
126,45.1964,-122.7797,non-R6
127,45.1931,-122.7852,non-R6
128,45.1898,-122.7861,non-R6
129,45.1962,-122.7851,R6
132,45.1905,-122.7928,non-R6
133,45.1897,-122.7802,R6
134,45.1986,-122.78,non-R6
135,45.1883,-122.791,non-R6
136,45.1865,-122.7907,R6
